0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
12.0,10.0,12.0,9.0,13.0,9.0,13.0,10.0,12.0,9.0,11.0,9.0,11.0,8.0,11.0,7.0,11.0,7.0,12.0,7.0,13.0,7.0,13.0,6.0,13.0,5.0,12.0,5.0,12.0,5.0,13.0,3.0,12.0,2.0,12.0,2.0,11.0,1.0,12.0,1.0,13.0,1.0,13.0,1.0,12.0,0.0,13.0,-2.0,15.0,-3.0,16.0,-3.0,16.0,-5.0,17.0,-5.0,18.0,-6.0,17.0,-6.0,17.0,-6.0,17.0,-7.0,18.0,-7.0,18.0,-8.0,19.0,-8.0,19.0,-8.0,20.0,-8.0,20.0,-7.0,20.0,-7.0,21.0,-8.0,21.0,-8.0,22.0,-9.0,23.0,-8.0,22.0,-7.0,22.0,-7.0,22.0,-6.0,22.0,-6.0,22.0,-5.0,22.0,-4.0,22.0,-3.0,21.0,-1.0,20.0,0.0
-11.0,7.0,-10.0,7.0,-10.0,8.0,-11.0,7.0,-11.0,7.0,-10.0,6.0,-9.0,7.0,-9.0,7.0,-8.0,7.0,-9.0,7.0,-9.0,8.0,-9.0,8.0,-8.0,8.0,-8.0,8.0,-7.0,7.0,-6.0,8.0,-5.0,8.0,-5.0,8.0,-4.0,8.0,-5.0,8.0,-5.0,9.0,-4.0,10.0,-3.0,10.0,-3.0,10.0,-3.0,12.0,-2.0,12.0,-1.0,13.0,-1.0,13.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,15.0,1.0,15.0,1.0,15.0,2.0,16.0,1.0,16.0,0.0,16.0,0.0,16.0,0.0,17.0,1.0,17.0,2.0,18.0,1.0,19.0,0.0,18.0,0.0,17.0,0.0,17.0,-1.0,17.0,-2.0,17.0,-3.0,17.0,-4.0,17.0,-4.0,16.0,-5.0,15.0
9.0,9.0,10.0,8.0,11.0,8.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,7.0,10.0,7.0,10.0,7.0,11.0,7.0,11.0,6.0,10.0,6.0,10.0,5.0,11.0,3.0,11.0,3.0,10.0,2.0,10.0,2.0,11.0,2.0,11.0,2.0,12.0,1.0,11.0,0.0,12.0,-1.0,13.0,-1.0,14.0,-1.0,14.0,-4.0,15.0,-4.0,16.0,-4.0,15.0,-5.0,15.0,-4.0,16.0,-5.0,16.0,-6.0,16.0,-6.0,16.0,-6.0,17.0,-7.0,18.0,-6.0,18.0,-5.0,18.0,-5.0,18.0,-6.0,19.0,-6.0,20.0,-7.0,20.0,-7.0,20.0,-6.0,19.0,-5.0,19.0,-5.0,19.0,-4.0,20.0,-4.0,20.0,-3.0,19.0,-2.0,18.0,0.0,17.0,1.0
5.0,-7.0,5.0,-7.0,5.0,-8.0,6.0,-8.0,6.0,-7.0,5.0,-7.0,4.0,-7.0,3.0,-7.0,3.0,-7.0,3.0,-7.0,3.0,-8.0,3.0,-8.0,3.0,-7.0,3.0,-7.0,2.0,-7.0,1.0,-8.0,0.0,-8.0,0.0,-8.0,0.0,-7.0,0.0,-8.0,0.0,-8.0,0.0,-8.0,-1.0,-8.0,-2.0,-8.0,-2.0,-9.0,-2.0,-10.0,-5.0,-10.0,-4.0,-10.0,-5.0,-10.0,-5.0,-10.0,-4.0,-10.0,-5.0,-10.0,-6.0,-10.0,-5.0,-11.0,-6.0,-11.0,-7.0,-11.0,-7.0,-11.0,-6.0,-11.0,-6.0,-11.0,-7.0,-12.0,-7.0,-12.0,-7.0,-13.0,-7.0,-13.0,-6.0,-12.0,-6.0,-12.0,-6.0,-12.0,-6.0,-13.0,-5.0,-13.0,-5.0,-13.0,-4.0,-13.0,-3.0,-12.0,-3.0,-12.0
-13.0,9.0,-12.0,10.0,-13.0,11.0,-13.0,10.0,-13.0,9.0,-12.0,9.0,-11.0,9.0,-10.0,9.0,-10.0,9.0,-10.0,10.0,-10.0,10.0,-10.0,11.0,-9.0,11.0,-9.0,11.0,-9.0,10.0,-7.0,11.0,-6.0,11.0,-5.0,11.0,-5.0,11.0,-5.0,11.0,-5.0,12.0,-5.0,12.0,-3.0,12.0,-2.0,13.0,-2.0,15.0,-2.0,16.0,1.0,16.0,0.0,17.0,0.0,18.0,1.0,18.0,1.0,17.0,1.0,18.0,2.0,19.0,2.0,19.0,3.0,20.0,4.0,20.0,3.0,21.0,1.0,20.0,1.0,21.0,2.0,22.0,3.0,22.0,3.0,23.0,3.0,24.0,2.0,23.0,1.0,23.0,1.0,22.0,0.0,22.0,-1.0,22.0,-2.0,22.0,-3.0,22.0,-4.0,21.0,-5.0,20.0
-9.0,47.0,0.0,44.0,4.0,48.0,0.0,51.0,-1.0,46.0,0.0,43.0,3.0,42.0,8.0,41.0,9.0,42.0,8.0,46.0,10.0,53.0,21.0,50.0,25.0,44.0,16.0,49.0,15.0,51.0,25.0,47.0,23.0,40.0,18.0,31.0,23.0,27.0,22.0,31.0,19.0,38.0,23.0,37.0,25.0,31.0,35.0,28.0,41.0,37.0,33.0,48.0,57.0,38.0,59.0,39.0,64.0,35.0,58.0,34.0,49.0,36.0,53.0,34.0,57.0,38.0,56.0,45.0,58.0,38.0,61.0,30.0,58.0,34.0,50.0,39.0,49.0,36.0,52.0,34.0,56.0,37.0,64.0,40.0,68.0,37.0,62.0,34.0,50.0,37.0,41.0,39.0,45.0,37.0,47.0,34.0,41.0,40.0,36.0,44.0,32.0,41.0,25.0,42.0
15.0,0.0,15.0,-1.0,16.0,-1.0,16.0,0.0,15.0,0.0,14.0,0.0,14.0,-1.0,13.0,-1.0,13.0,-2.0,13.0,-2.0,14.0,-2.0,14.0,-3.0,14.0,-3.0,13.0,-3.0,12.0,-3.0,12.0,-5.0,11.0,-6.0,11.0,-5.0,10.0,-6.0,10.0,-7.0,11.0,-7.0,11.0,-8.0,10.0,-8.0,10.0,-10.0,11.0,-11.0,12.0,-11.0,10.0,-13.0,11.0,-14.0,11.0,-15.0,11.0,-15.0,11.0,-15.0,11.0,-15.0,11.0,-16.0,11.0,-17.0,11.0,-17.0,11.0,-18.0,12.0,-18.0,12.0,-17.0,13.0,-17.0,13.0,-18.0,13.0,-19.0,13.0,-20.0,14.0,-20.0,14.0,-19.0,14.0,-18.0,15.0,-17.0,15.0,-17.0,16.0,-16.0,17.0,-16.0,17.0,-14.0,17.0,-12.0,17.0,-11.0
12.0,5.0,13.0,4.0,13.0,4.0,14.0,5.0,12.0,5.0,11.0,4.0,11.0,4.0,11.0,3.0,11.0,3.0,11.0,2.0,12.0,2.0,13.0,1.0,12.0,1.0,12.0,1.0,11.0,1.0,11.0,-1.0,11.0,-1.0,10.0,-1.0,10.0,-2.0,10.0,-3.0,11.0,-3.0,11.0,-3.0,10.0,-4.0,11.0,-6.0,12.0,-6.0,13.0,-7.0,12.0,-9.0,13.0,-9.0,13.0,-10.0,13.0,-10.0,13.0,-9.0,13.0,-10.0,13.0,-11.0,13.0,-11.0,13.0,-11.0,13.0,-12.0,14.0,-12.0,15.0,-11.0,15.0,-11.0,16.0,-12.0,15.0,-12.0,16.0,-13.0,17.0,-13.0,17.0,-12.0,16.0,-12.0,16.0,-11.0,17.0,-11.0,17.0,-10.0,17.0,-9.0,18.0,-8.0,17.0,-7.0,17.0,-6.0
14.0,-7.0,14.0,-7.0,14.0,-8.0,15.0,-8.0,14.0,-6.0,13.0,-6.0,12.0,-7.0,11.0,-7.0,11.0,-7.0,11.0,-7.0,12.0,-8.0,12.0,-9.0,11.0,-9.0,11.0,-9.0,10.0,-9.0,9.0,-10.0,8.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,-11.0,8.0,-11.0,7.0,-12.0,6.0,-12.0,5.0,-13.0,5.0,-15.0,5.0,-15.0,3.0,-17.0,4.0,-18.0,3.0,-19.0,3.0,-19.0,3.0,-18.0,3.0,-19.0,3.0,-20.0,3.0,-20.0,2.0,-20.0,2.0,-21.0,2.0,-22.0,4.0,-21.0,4.0,-21.0,4.0,-22.0,3.0,-23.0,3.0,-24.0,4.0,-24.0,4.0,-24.0,5.0,-23.0,6.0,-23.0,6.0,-22.0,7.0,-22.0,8.0,-22.0,8.0,-21.0,9.0,-19.0,9.0,-18.0
10.0,6.0,10.0,6.0,10.0,6.0,11.0,7.0,10.0,6.0,9.0,6.0,9.0,5.0,9.0,4.0,9.0,4.0,9.0,4.0,10.0,5.0,10.0,3.0,10.0,3.0,9.0,3.0,9.0,3.0,10.0,1.0,10.0,0.0,9.0,0.0,9.0,-1.0,9.0,-1.0,10.0,-1.0,10.0,-1.0,9.0,-2.0,10.0,-3.0,11.0,-3.0,12.0,-3.0,11.0,-6.0,12.0,-6.0,13.0,-7.0,12.0,-7.0,12.0,-7.0,12.0,-7.0,12.0,-8.0,13.0,-8.0,13.0,-8.0,14.0,-9.0,14.0,-8.0,14.0,-7.0,14.0,-7.0,14.0,-9.0,15.0,-9.0,15.0,-10.0,16.0,-10.0,16.0,-9.0,15.0,-9.0,15.0,-8.0,16.0,-8.0,17.0,-7.0,17.0,-6.0,16.0,-5.0,15.0,-3.0,14.0,-3.0
12.0,9.0,12.0,8.0,13.0,8.0,13.0,9.0,12.0,9.0,11.0,8.0,12.0,7.0,11.0,7.0,11.0,6.0,12.0,6.0,13.0,7.0,13.0,6.0,13.0,5.0,12.0,5.0,12.0,5.0,12.0,3.0,12.0,2.0,11.0,2.0,11.0,1.0,12.0,1.0,12.0,1.0,13.0,0.0,12.0,-1.0,13.0,-2.0,15.0,-2.0,15.0,-2.0,16.0,-5.0,16.0,-5.0,17.0,-6.0,17.0,-6.0,16.0,-6.0,17.0,-7.0,17.0,-8.0,18.0,-8.0,18.0,-8.0,19.0,-8.0,19.0,-8.0,19.0,-7.0,19.0,-7.0,20.0,-8.0,21.0,-8.0,21.0,-9.0,22.0,-8.0,22.0,-7.0,21.0,-7.0,21.0,-6.0,21.0,-6.0,22.0,-5.0,22.0,-4.0,22.0,-2.0,20.0,-1.0,19.0,0.0
-1.0,-13.0,-2.0,-13.0,-3.0,-13.0,-2.0,-13.0,-1.0,-13.0,-2.0,-12.0,-2.0,-12.0,-3.0,-11.0,-3.0,-11.0,-3.0,-11.0,-3.0,-12.0,-4.0,-12.0,-4.0,-11.0,-3.0,-11.0,-4.0,-10.0,-5.0,-10.0,-6.0,-10.0,-5.0,-9.0,-6.0,-8.0,-6.0,-8.0,-6.0,-9.0,-7.0,-9.0,-7.0,-8.0,-8.0,-8.0,-10.0,-9.0,-10.0,-9.0,-12.0,-8.0,-12.0,-8.0,-13.0,-8.0,-13.0,-8.0,-12.0,-8.0,-13.0,-8.0,-14.0,-7.0,-14.0,-8.0,-15.0,-8.0,-15.0,-8.0,-15.0,-9.0,-14.0,-9.0,-14.0,-9.0,-15.0,-9.0,-16.0,-10.0,-17.0,-10.0,-17.0,-10.0,-16.0,-10.0,-16.0,-10.0,-15.0,-11.0,-15.0,-11.0,-15.0,-11.0,-13.0,-12.0,-12.0,-13.0,-11.0,-13.0,-10.0,-13.0
5.0,12.0,5.0,12.0,6.0,12.0,5.0,13.0,4.0,12.0,5.0,11.0,5.0,11.0,5.0,10.0,5.0,10.0,5.0,10.0,6.0,11.0,7.0,10.0,7.0,10.0,6.0,9.0,6.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,8.0,6.0,9.0,6.0,9.0,6.0,9.0,5.0,10.0,4.0,12.0,5.0,13.0,5.0,14.0,3.0,15.0,3.0,15.0,3.0,15.0,2.0,15.0,3.0,15.0,2.0,16.0,2.0,16.0,2.0,17.0,2.0,18.0,1.0,18.0,2.0,17.0,3.0,17.0,3.0,19.0,3.0,19.0,3.0,20.0,2.0,20.0,3.0,20.0,3.0,19.0,4.0,19.0,4.0,19.0,5.0,19.0,5.0,18.0,6.0,17.0,7.0,16.0,8.0,15.0,8.0
1.0,-16.0,0.0,-16.0,0.0,-17.0,1.0,-17.0,1.0,-16.0,0.0,-15.0,-1.0,-15.0,-1.0,-14.0,-1.0,-14.0,-1.0,-14.0,-2.0,-15.0,-3.0,-15.0,-3.0,-15.0,-2.0,-14.0,-3.0,-14.0,-5.0,-13.0,-5.0,-13.0,-5.0,-12.0,-6.0,-11.0,-6.0,-11.0,-6.0,-12.0,-7.0,-12.0,-7.0,-11.0,-9.0,-11.0,-10.0,-12.0,-11.0,-13.0,-14.0,-11.0,-14.0,-12.0,-15.0,-12.0,-15.0,-11.0,-14.0,-11.0,-15.0,-11.0,-16.0,-11.0,-16.0,-12.0,-17.0,-12.0,-18.0,-12.0,-18.0,-13.0,-17.0,-13.0,-17.0,-13.0,-18.0,-14.0,-19.0,-14.0,-20.0,-14.0,-20.0,-15.0,-19.0,-15.0,-18.0,-15.0,-17.0,-15.0,-17.0,-16.0,-16.0,-17.0,-15.0,-17.0,-14.0,-17.0,-13.0,-18.0,-12.0,-17.0
-5.0,13.0,-4.0,13.0,-4.0,13.0,-5.0,13.0,-5.0,12.0,-5.0,12.0,-4.0,12.0,-3.0,11.0,-3.0,11.0,-3.0,11.0,-3.0,12.0,-2.0,13.0,-2.0,12.0,-2.0,11.0,-2.0,11.0,0.0,11.0,1.0,11.0,1.0,10.0,2.0,10.0,1.0,10.0,1.0,11.0,2.0,11.0,3.0,10.0,4.0,10.0,5.0,12.0,6.0,12.0,8.0,12.0,8.0,12.0,9.0,13.0,9.0,12.0,8.0,12.0,9.0,12.0,10.0,12.0,10.0,13.0,11.0,13.0,12.0,13.0,12.0,14.0,10.0,14.0,10.0,14.0,11.0,14.0,12.0,15.0,13.0,16.0,13.0,16.0,12.0,16.0,11.0,16.0,11.0,16.0,10.0,16.0,9.0,17.0,8.0,17.0,7.0,17.0,6.0,17.0,5.0,16.0
11.0,10.0,12.0,9.0,13.0,9.0,12.0,10.0,11.0,10.0,10.0,9.0,11.0,8.0,11.0,7.0,11.0,7.0,11.0,7.0,12.0,8.0,13.0,7.0,12.0,6.0,11.0,6.0,11.0,5.0,12.0,4.0,12.0,3.0,11.0,2.0,11.0,1.0,12.0,1.0,12.0,1.0,13.0,1.0,12.0,0.0,13.0,-1.0,15.0,-2.0,15.0,-2.0,16.0,-5.0,16.0,-5.0,17.0,-5.0,17.0,-5.0,17.0,-5.0,17.0,-6.0,17.0,-7.0,18.0,-7.0,18.0,-7.0,19.0,-8.0,20.0,-7.0,19.0,-6.0,19.0,-6.0,20.0,-7.0,20.0,-8.0,21.0,-8.0,22.0,-8.0,22.0,-7.0,22.0,-7.0,22.0,-6.0,22.0,-6.0,22.0,-5.0,22.0,-3.0,22.0,-2.0,20.0,-1.0,20.0,0.0
-8.0,3.0,-8.0,4.0,-8.0,5.0,-9.0,5.0,-8.0,4.0,-7.0,4.0,-6.0,4.0,-6.0,4.0,-6.0,4.0,-6.0,4.0,-6.0,4.0,-6.0,5.0,-6.0,5.0,-6.0,5.0,-6.0,5.0,-4.0,6.0,-4.0,6.0,-4.0,6.0,-4.0,6.0,-4.0,6.0,-3.0,6.0,-3.0,6.0,-3.0,6.0,-2.0,7.0,-2.0,8.0,-3.0,9.0,-1.0,9.0,-1.0,9.0,-1.0,9.0,0.0,10.0,-1.0,10.0,0.0,10.0,1.0,10.0,1.0,11.0,1.0,11.0,1.0,11.0,1.0,11.0,1.0,11.0,0.0,11.0,0.0,12.0,1.0,12.0,1.0,13.0,1.0,13.0,0.0,13.0,0.0,12.0,-1.0,12.0,-1.0,12.0,-1.0,12.0,-2.0,13.0,-2.0,12.0,-3.0,12.0,-4.0,11.0
-13.0,9.0,-12.0,10.0,-12.0,11.0,-13.0,10.0,-13.0,9.0,-12.0,9.0,-11.0,9.0,-10.0,9.0,-10.0,9.0,-10.0,10.0,-11.0,10.0,-10.0,11.0,-10.0,11.0,-10.0,10.0,-9.0,10.0,-7.0,11.0,-6.0,11.0,-5.0,10.0,-5.0,11.0,-5.0,11.0,-5.0,12.0,-5.0,12.0,-4.0,12.0,-3.0,13.0,-3.0,14.0,-2.0,15.0,0.0,16.0,0.0,17.0,0.0,18.0,1.0,18.0,0.0,17.0,1.0,18.0,1.0,18.0,1.0,19.0,2.0,19.0,3.0,20.0,2.0,20.0,0.0,20.0,0.0,20.0,1.0,21.0,2.0,22.0,2.0,23.0,1.0,24.0,1.0,23.0,0.0,22.0,0.0,22.0,-1.0,22.0,-2.0,22.0,-3.0,22.0,-4.0,21.0,-5.0,20.0,-6.0,19.0
-16.0,-1.0,-16.0,1.0,-17.0,1.0,-18.0,0.0,-16.0,0.0,-15.0,0.0,-15.0,1.0,-14.0,1.0,-14.0,2.0,-15.0,2.0,-15.0,2.0,-15.0,3.0,-15.0,3.0,-14.0,3.0,-13.0,3.0,-13.0,5.0,-12.0,5.0,-11.0,5.0,-11.0,6.0,-11.0,6.0,-11.0,7.0,-11.0,8.0,-11.0,8.0,-11.0,9.0,-12.0,11.0,-12.0,11.0,-10.0,13.0,-11.0,14.0,-11.0,15.0,-11.0,14.0,-10.0,14.0,-10.0,16.0,-10.0,16.0,-10.0,17.0,-10.0,17.0,-10.0,18.0,-11.0,18.0,-12.0,16.0,-12.0,17.0,-12.0,18.0,-12.0,19.0,-12.0,20.0,-13.0,20.0,-13.0,19.0,-13.0,18.0,-13.0,18.0,-14.0,18.0,-15.0,18.0,-16.0,17.0,-17.0,15.0,-17.0,13.0,-16.0,12.0
12.0,-7.0,11.0,-8.0,12.0,-9.0,13.0,-8.0,12.0,-7.0,11.0,-7.0,10.0,-7.0,9.0,-8.0,9.0,-8.0,9.0,-8.0,10.0,-9.0,10.0,-9.0,9.0,-9.0,9.0,-9.0,8.0,-9.0,7.0,-10.0,6.0,-10.0,6.0,-10.0,5.0,-10.0,5.0,-10.0,5.0,-11.0,5.0,-11.0,4.0,-11.0,4.0,-12.0,4.0,-13.0,4.0,-14.0,1.0,-16.0,2.0,-17.0,2.0,-17.0,1.0,-17.0,2.0,-17.0,1.0,-17.0,1.0,-18.0,1.0,-18.0,0.0,-18.0,0.0,-19.0,2.0,-19.0,3.0,-19.0,2.0,-19.0,2.0,-20.0,1.0,-21.0,1.0,-22.0,2.0,-22.0,2.0,-22.0,2.0,-21.0,3.0,-20.0,3.0,-20.0,4.0,-20.0,6.0,-20.0,7.0,-19.0,7.0,-18.0,8.0,-17.0
1.0,-15.0,0.0,-14.0,0.0,-15.0,1.0,-15.0,1.0,-14.0,0.0,-14.0,0.0,-13.0,-1.0,-13.0,-1.0,-13.0,-1.0,-13.0,-1.0,-14.0,-2.0,-14.0,-2.0,-13.0,-2.0,-12.0,-2.0,-12.0,-4.0,-12.0,-5.0,-12.0,-5.0,-11.0,-5.0,-10.0,-5.0,-10.0,-6.0,-11.0,-6.0,-11.0,-7.0,-10.0,-8.0,-10.0,-9.0,-11.0,-10.0,-12.0,-12.0,-11.0,-12.0,-12.0,-13.0,-12.0,-13.0,-11.0,-12.0,-11.0,-13.0,-11.0,-14.0,-11.0,-14.0,-11.0,-15.0,-12.0,-16.0,-12.0,-15.0,-13.0,-14.0,-13.0,-15.0,-13.0,-16.0,-13.0,-16.0,-13.0,-17.0,-14.0,-17.0,-14.0,-16.0,-14.0,-15.0,-14.0,-15.0,-15.0,-15.0,-15.0,-14.0,-16.0,-13.0,-16.0,-12.0,-16.0,-11.0,-16.0,-10.0,-16.0
-9.0,13.0,-8.0,13.0,-8.0,14.0,-10.0,14.0,-9.0,13.0,-8.0,12.0,-8.0,12.0,-7.0,12.0,-7.0,12.0,-7.0,12.0,-7.0,13.0,-6.0,14.0,-6.0,13.0,-6.0,12.0,-5.0,12.0,-3.0,13.0,-2.0,12.0,-2.0,12.0,-1.0,12.0,-2.0,12.0,-2.0,13.0,-1.0,13.0,0.0,13.0,1.0,13.0,2.0,15.0,2.0,16.0,5.0,16.0,5.0,17.0,5.0,18.0,5.0,17.0,5.0,17.0,6.0,17.0,6.0,18.0,6.0,18.0,7.0,19.0,8.0,19.0,7.0,20.0,6.0,19.0,5.0,19.0,6.0,20.0,7.0,21.0,8.0,22.0,7.0,23.0,6.0,22.0,6.0,22.0,5.0,22.0,5.0,22.0,4.0,22.0,2.0,22.0,1.0,22.0,0.0,21.0,-1.0,20.0
1.0,-16.0,0.0,-16.0,0.0,-17.0,1.0,-18.0,1.0,-17.0,0.0,-15.0,-1.0,-15.0,-1.0,-14.0,-1.0,-14.0,-1.0,-15.0,-1.0,-16.0,-2.0,-16.0,-3.0,-15.0,-2.0,-14.0,-3.0,-14.0,-5.0,-14.0,-6.0,-13.0,-5.0,-12.0,-6.0,-11.0,-6.0,-12.0,-7.0,-12.0,-7.0,-12.0,-8.0,-12.0,-9.0,-11.0,-11.0,-13.0,-11.0,-13.0,-14.0,-12.0,-14.0,-13.0,-15.0,-12.0,-15.0,-12.0,-14.0,-12.0,-15.0,-12.0,-16.0,-12.0,-16.0,-12.0,-17.0,-12.0,-18.0,-13.0,-18.0,-14.0,-17.0,-14.0,-17.0,-14.0,-18.0,-14.0,-19.0,-14.0,-20.0,-15.0,-20.0,-15.0,-19.0,-15.0,-18.0,-15.0,-18.0,-15.0,-17.0,-16.0,-17.0,-17.0,-16.0,-17.0,-14.0,-18.0,-13.0,-18.0,-12.0,-17.0
15.0,-4.0,14.0,-5.0,15.0,-6.0,16.0,-5.0,15.0,-4.0,14.0,-4.0,13.0,-5.0,12.0,-5.0,12.0,-5.0,12.0,-6.0,13.0,-6.0,13.0,-7.0,13.0,-7.0,12.0,-7.0,11.0,-7.0,11.0,-9.0,10.0,-9.0,9.0,-8.0,8.0,-9.0,8.0,-10.0,9.0,-10.0,9.0,-11.0,8.0,-11.0,7.0,-12.0,8.0,-14.0,9.0,-14.0,6.0,-16.0,7.0,-17.0,7.0,-18.0,7.0,-18.0,7.0,-17.0,6.0,-19.0,6.0,-19.0,6.0,-19.0,6.0,-20.0,6.0,-20.0,7.0,-20.0,8.0,-20.0,8.0,-20.0,8.0,-21.0,7.0,-22.0,7.0,-23.0,8.0,-23.0,9.0,-22.0,9.0,-22.0,9.0,-21.0,10.0,-21.0,11.0,-21.0,12.0,-20.0,13.0,-19.0,13.0,-17.0,13.0,-15.0
10.0,-53.0,5.0,-52.0,-4.0,-59.0,-2.0,-63.0,-1.0,-57.0,-5.0,-53.0,-7.0,-48.0,-4.0,-43.0,-4.0,-44.0,-8.0,-49.0,-11.0,-57.0,-21.0,-58.0,-26.0,-51.0,-12.0,-49.0,-7.0,-52.0,-21.0,-51.0,-33.0,-43.0,-33.0,-34.0,-27.0,-28.0,-18.0,-32.0,-19.0,-39.0,-24.0,-38.0,-28.0,-32.0,-40.0,-32.0,-48.0,-45.0,-46.0,-55.0,-60.0,-43.0,-57.0,-53.0,-66.0,-53.0,-64.0,-48.0,-51.0,-47.0,-51.0,-49.0,-52.0,-51.0,-50.0,-49.0,-52.0,-43.0,-56.0,-39.0,-51.0,-43.0,-42.0,-43.0,-43.0,-39.0,-50.0,-41.0,-58.0,-50.0,-63.0,-53.0,-59.0,-51.0,-52.0,-51.0,-45.0,-51.0,-41.0,-51.0,-40.0,-48.0,-34.0,-43.0,-24.0,-40.0,-20.0,-42.0,-19.0,-45.0,-18.0,-46.0
-7.0,-16.0,-8.0,-15.0,-8.0,-15.0,-7.0,-16.0,-7.0,-15.0,-7.0,-14.0,-7.0,-13.0,-8.0,-13.0,-8.0,-12.0,-8.0,-12.0,-8.0,-13.0,-9.0,-13.0,-9.0,-12.0,-8.0,-12.0,-8.0,-11.0,-10.0,-10.0,-11.0,-9.0,-10.0,-9.0,-10.0,-8.0,-11.0,-8.0,-11.0,-8.0,-12.0,-8.0,-12.0,-7.0,-13.0,-6.0,-15.0,-7.0,-16.0,-7.0,-17.0,-5.0,-18.0,-6.0,-19.0,-5.0,-19.0,-5.0,-18.0,-5.0,-19.0,-4.0,-20.0,-4.0,-20.0,-4.0,-21.0,-4.0,-22.0,-4.0,-22.0,-5.0,-21.0,-6.0,-21.0,-6.0,-22.0,-6.0,-23.0,-6.0,-24.0,-5.0,-25.0,-6.0,-24.0,-7.0,-23.0,-7.0,-23.0,-7.0,-23.0,-8.0,-22.0,-9.0,-21.0,-10.0,-20.0,-11.0,-19.0,-12.0,-18.0,-12.0
10.0,49.0,17.0,46.0,23.0,49.0,19.0,54.0,17.0,50.0,18.0,45.0,19.0,40.0,19.0,37.0,19.0,34.0,20.0,35.0,26.0,42.0,37.0,38.0,38.0,32.0,30.0,37.0,30.0,38.0,40.0,35.0,40.0,25.0,33.0,16.0,32.0,17.0,34.0,24.0,35.0,26.0,36.0,20.0,36.0,15.0,43.0,15.0,51.0,24.0,55.0,33.0,69.0,10.0,73.0,13.0,76.0,10.0,70.0,10.0,60.0,14.0,61.0,16.0,65.0,20.0,64.0,23.0,64.0,16.0,68.0,6.0,70.0,10.0,65.0,17.0,62.0,11.0,65.0,5.0,72.0,7.0,81.0,10.0,80.0,12.0,71.0,14.0,59.0,17.0,57.0,21.0,60.0,21.0,54.0,19.0,44.0,20.0,38.0,20.0,34.0,21.0,31.0,26.0
-4.0,-13.0,-5.0,-12.0,-5.0,-13.0,-4.0,-13.0,-4.0,-12.0,-4.0,-12.0,-5.0,-11.0,-5.0,-11.0,-5.0,-10.0,-5.0,-11.0,-6.0,-11.0,-7.0,-11.0,-7.0,-10.0,-6.0,-10.0,-6.0,-10.0,-7.0,-9.0,-8.0,-8.0,-7.0,-8.0,-7.0,-7.0,-8.0,-7.0,-8.0,-8.0,-9.0,-8.0,-9.0,-7.0,-10.0,-6.0,-11.0,-7.0,-12.0,-7.0,-13.0,-6.0,-14.0,-6.0,-14.0,-6.0,-14.0,-6.0,-14.0,-6.0,-15.0,-5.0,-15.0,-5.0,-15.0,-5.0,-16.0,-5.0,-17.0,-5.0,-17.0,-6.0,-16.0,-7.0,-16.0,-7.0,-17.0,-7.0,-18.0,-7.0,-19.0,-7.0,-19.0,-7.0,-18.0,-8.0,-17.0,-8.0,-17.0,-9.0,-17.0,-9.0,-16.0,-9.0,-16.0,-10.0,-15.0,-11.0,-14.0,-11.0,-12.0,-11.0
12.0,-7.0,12.0,-8.0,12.0,-8.0,13.0,-8.0,12.0,-7.0,11.0,-7.0,10.0,-7.0,9.0,-7.0,9.0,-7.0,10.0,-8.0,10.0,-9.0,10.0,-9.0,9.0,-10.0,9.0,-9.0,8.0,-9.0,7.0,-10.0,6.0,-10.0,5.0,-9.0,5.0,-10.0,6.0,-10.0,6.0,-11.0,5.0,-11.0,4.0,-11.0,4.0,-13.0,4.0,-14.0,4.0,-15.0,2.0,-16.0,3.0,-17.0,2.0,-17.0,2.0,-17.0,2.0,-17.0,2.0,-17.0,1.0,-18.0,1.0,-18.0,1.0,-19.0,0.0,-19.0,1.0,-20.0,3.0,-19.0,3.0,-19.0,2.0,-20.0,2.0,-21.0,1.0,-22.0,2.0,-22.0,3.0,-22.0,3.0,-21.0,3.0,-21.0,4.0,-21.0,5.0,-20.0,6.0,-20.0,6.0,-19.0,7.0,-18.0,7.0,-17.0
